,Status
49890,1
35335,0
63390,0
33877,0
33822,0
49906,0
128468,0
112045,0
117578,0
127382,0
15866,0
6370,0
9128,0
75497,0
11938,0
28592,0
129900,0
138572,0
53235,0
65032,1
61770,0
61332,0
36393,1
28998,1
70243,1
65994,1
123229,0
43525,0
53520,0
10484,0
136577,0
32886,0
65664,0
65595,1
137089,0
136668,0
99912,1
133333,0
30260,0
70472,0
139503,0
127617,1
104326,0
5117,0
139311,0
147258,0
117829,1
25842,0
57760,1
137973,0
46432,1
36906,1
111966,1
62254,0
6087,1
16169,0
39747,0
135,1
107371,0
69501,1
132835,0
63095,1
83390,1
124651,0
62172,0
85850,0
129961,1
109473,0
4624,0
103701,0
103426,0
38389,1
125427,0
117204,0
91531,0
107565,0
18055,0
45866,0
58048,0
39320,0
91050,0
136271,0
104684,1
21748,0
6255,0
31344,0
118819,0
55585,0
93158,0
27100,0
55741,1
59629,0
63259,0
135432,0
40131,0
119408,0
8518,0
117049,0
46409,0
128501,1
142313,0
92843,0
110471,0
123939,0
53834,1
50723,0
2656,0
122032,0
88037,1
136761,0
119168,0
12896,0
7110,1
18839,0
103059,1
3261,0
56656,0
112560,0
118349,0
122370,1
39251,0
129926,0
854,0
102083,0
109945,1
120030,0
9890,1
126849,0
117567,0
7852,1
10293,0
851,0
39912,0
54077,0
41697,0
22817,0
14225,0
29673,0
53363,0
85415,0
70775,0
121428,0
97163,0
46514,0
81043,0
50414,0
143566,0
109342,0
68776,0
83358,0
62520,0
125994,1
23778,0
75990,1
40845,0
103469,0
17975,0
65577,0
65798,0
99303,1
9887,0
48895,0
13410,0
83323,0
36041,0
141791,0
78971,0
62332,1
145926,1
46343,0
5724,0
84162,1
84167,0
41840,0
17347,0
73280,1
70635,1
103202,0
16173,0
130156,1
61404,1
46130,0
102134,0
87369,1
82073,0
4935,1
104044,0
54030,0
144590,1
117062,1
65277,1
88830,0
63491,0
12619,0
21086,1
58358,0
79766,0
21877,0
67204,0
66991,0
1555,1
144655,0
80092,0
67811,0
48472,0
127954,0
102898,0
110188,1
135097,0
144715,0
28069,0
67547,1
18645,0
95657,0
56007,0
112493,1
3507,0
59853,0
13884,0
14035,0
34545,0
124927,0
75560,0
77938,0
63753,0
41932,0
66334,1
40157,1
1133,0
26352,0
28329,0
90127,0
35245,1
21650,0
141368,1
87367,0
142783,1
142857,0
118240,0
55063,0
141090,0
125277,1
111744,0
74600,1
76091,0
62266,1
130681,0
3471,1
57888,0
102476,1
47427,1
18339,0
79831,1
80378,0
100283,0
19655,0
16113,0
115915,0
97094,0
141659,0
118328,0
107117,0
130088,0
87601,0
136459,0
110076,1
62430,1
108047,0
130497,0
77249,0
37209,0
132353,1
137914,0
98208,0
18530,0
123677,0
142126,0
106727,0
119928,0
103225,1
46601,1
29041,0
93045,0
50504,0
112303,0
51800,0
76779,0
90933,0
16904,0
127350,0
104799,0
69379,0
74141,0
107232,0
92556,0
97223,0
145328,0
50307,0
21271,0
42420,1
143652,0
40040,1
44594,0
37795,1
140853,0
132936,0
132813,0
21233,1
68562,0
25562,0
27456,1
109449,0
35272,0
73381,1
14852,0
60807,0
49878,0
20557,1
45049,1
103481,0
136970,1
101550,0
98665,1
109311,0
124006,0
26600,1
142394,0
80931,0
49977,0
24375,0
148297,0
107128,1
56049,1
7131,0
37646,0
108333,0
97879,0
71479,0
109979,0
109476,1
91463,0
23270,0
88475,1
10394,0
70989,1
111860,1
25459,0
39594,0
10490,0
70153,1
54938,0
84479,0
46447,0
82870,0
116824,1
72360,0
145464,0
788,0
21092,0
81361,0
100403,0
146005,1
122975,0
39563,0
141091,0
114531,0
140020,1
99602,0
62777,0
18283,0
107446,0
38862,0
76278,0
101877,1
61529,0
34339,0
48155,0
136913,0
95957,0
81546,0
106949,0
27044,1
99360,0
106361,0
143398,0
115670,0
73767,1
34150,0
93963,0
65449,1
32688,1
143262,0
145409,0
52796,1
125185,0
98444,0
115343,0
22899,1
10576,0
95420,0
131231,0
94405,1
25064,0
16139,0
24562,0
14634,0
15803,0
54714,0
145206,0
48341,0
111545,1
139782,1
117766,1
120975,0
38793,0
139630,0
121766,0
85047,0
95531,0
35130,0
122170,1
46479,0
21075,1
148048,1
50468,0
127371,0
83230,0
89488,0
107095,0
4607,0
44067,1
38760,0
130951,0
93926,0
13676,0
113132,0
73214,0
22129,1
13480,0
67034,0
396,1
121819,1
95077,0
69365,0
137412,0
51231,0
88573,0
45000,0
116758,1
13434,0
130826,1
125176,0
66666,0
25996,0
50787,0
113048,0
114783,1
93605,0
54314,1
5789,0
79478,1
6606,1
113954,1
103135,0
126598,1
17543,0
141793,0
123817,0
112622,1
135371,0
102662,0
9130,0
107857,0
31654,0
98457,0
60004,0
128535,0
123149,0
136930,0
144838,0
67468,0
118092,0
16539,0
66556,0
70610,1
18365,1
27397,0
110135,1
93197,1
531,0
119301,1
117566,0
126747,1
107871,0
82969,1
91438,0
19015,0
10800,1
83628,0
110329,0
75206,0
136893,0
78501,1
40537,0
133615,0
100289,0
64144,0
117414,0
70926,1
32230,0
50788,0
96644,1
66689,1
70462,0
20022,0
64755,0
57509,0
53757,1
107816,0
114213,0
58241,0
107413,0
52562,0
102439,1
106398,0
59808,0
135193,0
101240,0
46139,0
144711,0
127030,0
4698,0
57179,1
52394,1
3132,0
137561,0
95602,1
77685,0
43659,0
52238,1
84487,0
23546,0
102443,0
52666,0
76730,0
65040,0
63765,0
122870,1
87972,0
46851,1
35764,0
22833,1
103764,1
16354,0
50596,0
7236,1
6148,0
135811,0
1483,0
39471,0
21459,0
79622,0
145406,0
114286,0
19021,0
47738,0
46175,1
77042,0
64564,0
63447,0
116269,1
143231,0
77305,0
86777,0
2407,0
67855,0
45747,1
148213,1
38043,0
33425,0
114006,1
115007,1
74260,0
16753,1
2189,0
113362,1
43945,0
138847,0
11043,0
11218,1
107286,0
142619,0
69979,0
72658,0
81666,0
91019,0
116728,0
111492,0
46748,0
38314,0
63531,1
106763,1
99077,0
76479,0
147083,0
143818,1
52049,0
12199,0
119631,1
87792,1
85482,0
25922,0
1081,0
46375,0
4761,0
90105,1
125935,1
116075,0
74613,0
117556,0
46715,1
88507,0
39239,0
16102,0
108632,1
67515,1
72781,0
62593,0
7858,0
86399,0
86919,0
140010,0
50248,0
113517,0
137279,0
128830,1
35961,1
131882,0
100100,1
145992,0
76886,1
5068,0
90368,1
67207,0
86027,0
50771,0
140386,1
32556,0
99335,0
121228,0
127457,1
107798,0
57343,1
76767,1
73237,0
95601,0
136890,0
66872,0
130350,0
121044,0
112196,0
129849,0
59174,0
36983,0
133999,1
69437,0
143934,0
68717,1
107992,0
108987,0
25860,0
100999,1
142999,0
109388,0
142193,1
69871,0
51137,0
60338,0
8044,0
136341,1
113854,0
103060,0
62450,0
117500,0
144480,0
12415,1
2039,0
55483,0
8833,0
124956,0
60597,0
18334,0
123632,0
122903,0
82312,0
140952,0
23851,0
121847,0
68502,1
42261,0
33455,0
146693,1
111538,0
55098,0
144227,0
112930,0
52195,1
110539,0
103499,0
122778,0
133152,0
91928,1
95253,0
83962,0
108424,0
10510,1
7876,0
93440,0
27855,0
76868,1
1658,0
127292,0
47722,0
118624,1
62795,1
112705,0
112533,0
124449,0
97230,0
20313,0
37055,1
144208,0
20487,0
53481,1
105357,1
24257,0
139404,1
16970,1
52452,0
118115,0
114215,0
30030,0
99967,0
39104,1
107792,0
55075,0
60340,0
49775,0
25048,1
59256,0
69107,0
116334,0
111915,1
67265,0
49837,1
61014,0
13387,0
52,1
42352,0
130641,0
105788,0
14419,0
132180,1
30583,0
38311,0
104782,1
102606,0
97912,0
119719,0
13635,1
71170,0
90882,0
65448,0
136353,0
105533,0
30137,0
130039,0
7405,0
146075,0
97232,0
133557,1
8825,0
88140,0
118338,0
38385,0
69783,1
110024,0
144666,0
3489,0
99019,0
140296,0
43007,1
59466,0
30878,0
83883,0
114109,1
121046,0
133181,0
1856,1
98202,0
8097,1
75084,0
68277,0
31337,0
141547,0
13321,0
95718,0
69155,1
124263,0
19590,0
83366,0
50805,0
116084,1
16502,0
84843,0
46404,0
72154,0
68519,0
87829,1
132185,0
92360,0
98761,0
134660,0
3916,0
85316,0
21500,1
105014,0
76059,1
83175,0
90688,0
18267,0
31535,0
139468,0
80980,0
56793,0
79207,0
37140,1
35025,0
21686,0
46658,1
12895,0
109127,0
77947,1
138295,0
107434,0
2509,1
79311,0
115115,0
138738,1
120652,1
14219,1
11687,1
96384,0
72509,0
21518,0
138565,0
67482,0
28356,0
64862,0
109902,1
73478,0
131238,0
81603,0
91294,0
126909,0
88364,0
61096,0
119136,0
92606,1
41478,0
32445,1
17112,0
538,0
49919,0
92297,0
45895,0
103178,0
34251,0
51075,0
82052,0
42266,1
56372,0
137513,1
95188,0
142777,1
64688,1
110913,0
123482,0
3831,1
137912,1
136640,1
13870,0
61408,0
19593,0
40534,0
31478,0
73530,1
81562,0
101500,0
142998,0
15884,0
118064,0
63048,0
18231,0
100196,0
22750,1
130328,0
21234,1
120772,0
76586,0
64861,0
82612,0
111246,1
143300,1
18730,1
597,0
34288,0
87036,0
130463,0
51928,0
62279,0
80321,0
27606,0
50119,0
77961,0
97123,1
108332,0
135101,1
25205,0
51967,1
108580,0
112960,1
22183,0
72438,0
67654,0
88974,0
81675,1
26743,0
90179,0
108537,0
126079,1
71250,1
3905,0
50040,0
98579,1
79306,0
67594,0
73617,0
128944,0
98448,0
54317,0
103906,0
28443,0
32821,0
143058,0
110137,0
30770,1
123836,0
64056,0
137882,0
138505,0
15715,0
146526,0
11093,0
107945,0
104173,0
3,0
40053,0
11036,0
142117,0
141820,1
126686,0
3962,1
36904,0
140236,0
25541,0
134733,0
142800,0
25263,0
42421,0
109271,0
113282,0
142657,1
141511,0
59758,1
5678,1
28810,0
101655,0
148251,0
36629,0
4334,0
142662,0
77416,0
28186,0
38794,0
90168,0
44935,0
15214,0
118062,1
76209,0
15668,0
6287,0
148077,0
109584,0
6428,0
42145,1
70823,0
82214,0
18099,0
116218,0
69604,0
10792,1
88126,0
131877,0
73755,0
37444,0
84193,0
9209,0
5491,0
37818,0
82110,0
133164,0
35717,0
89078,1
132293,0
81576,0
46534,0
120130,0
22719,0
103448,0
48780,0
57188,0
146606,1
144793,1
128794,0
23647,1
6713,0
103296,0
147185,0
2566,0
97550,1
129728,0
133902,1
11924,0
13140,0
4871,0
128568,1
139887,0
61766,0
115980,0
79628,0
82058,0
67723,0
31559,0
57201,0
92383,0
36135,0
1605,0
41242,1
56478,0
108667,0
105166,0
105165,0
96832,1
146097,0
13094,0
75967,0
9196,1
139975,0
98335,0
137327,0
83725,0
62158,1
45996,0
137779,0
44190,0
106617,0
140570,0
101339,1
93163,1
14076,0
145344,1
94728,1
13913,1
31634,1
35681,1
28437,0
5704,0
140676,1
141060,1
105959,0
71398,0
105143,0
125685,0
84828,0
58235,0
60118,0
20623,0
121169,1
73802,0
57583,0
58360,0
103544,0
107581,0
27232,1
48479,0
17842,0
101509,0
119076,1
79863,0
92294,0
120352,0
80468,0
38887,0
76866,0
140698,1
29310,0
72098,1
81710,0
131725,1
120181,0
44903,0
133491,0
52520,1
104049,0
66898,0
12993,0
51008,1
94217,0
36078,0
107233,1
90812,0
52380,0
105973,1
17162,0
63253,0
105209,0
18917,1
129151,0
134673,0
132778,0
135142,0
38061,0
52472,0
67291,0
47436,0
83248,1
41934,0
124539,0
84584,0
39444,0
60538,1
93589,0
91329,0
108758,1
78818,0
141873,0
44365,0
94882,0
97391,0
124216,0
78522,0
31422,0
92454,0
115678,0
129545,0
98394,0
13265,1
12708,0
90239,0
99907,0
32084,1
117118,0
135477,0
38877,1
53939,0
124252,0
99178,0
127572,0
106040,0
88359,0
103414,0
121132,1
63017,0
12309,0
117572,1
22590,1
60156,0
95687,0
127295,0
8834,0
36852,0
139218,0
124581,0
142529,1
107255,0
52729,0
126531,0
64943,0
104727,0
59117,0
53056,1
113822,0
56434,0
122102,0
16236,1
67993,0
56697,1
97768,0
26720,1
1606,0
145114,0
83775,0
131338,0
72400,0
73328,0
46037,0
55446,1
18525,0
115574,0
104959,0
124875,1
81002,0
83833,0
123734,0
130838,0
26609,0
30871,0
20485,1
129106,0
101825,0
142243,0
65848,0
121719,0
99977,1
37320,1
143970,1
146575,0
21409,0
94610,0
56344,1
55146,0
5409,1
144055,1
77397,0
85650,0
56246,0
106960,0
12246,0
13619,0
36766,0
127547,0
133359,0
95440,0
134427,0
71306,0
68192,1
55877,0
16100,0
39671,0
18060,0
35624,1
53958,0
107442,0
68235,0
139384,1
128943,0
91137,0
122107,0
48525,0
13137,0
119072,0
62517,0
20440,0
120024,1
72206,0
75553,0
88491,0
43789,0
124184,0
17991,1
114694,1
125153,0
98920,0
81183,1
2165,1
55018,0
58652,0
110041,0
43587,1
12911,0
38782,1
57666,1
91939,0
122721,0
107041,0
100641,0
81042,1
9308,0
147052,0
100149,0
109796,1
33930,0
30521,1
63525,1
73016,0
101899,0
131988,0
64954,1
110424,1
85665,1
11085,0
100729,0
52251,1
7370,0
78184,0
103474,1
84860,1
13293,0
118917,0
131020,0
93572,0
137656,0
131064,0
137887,0
107765,0
33139,0
112610,1
69642,0
84405,0
70513,0
98813,1
99217,0
80170,0
127098,0
133636,1
46921,0
93265,0
41447,0
78140,1
119254,1
75916,0
142307,0
137311,0
97448,0
120087,0
18495,0
80216,1
122823,0
85069,0
92660,0
3942,0
65866,0
138508,0
18906,0
64494,0
117636,1
15633,0
124110,0
100381,1
132053,1
65094,0
11581,0
100737,0
111308,0
62393,0
115867,0
3214,0
120982,0
16152,0
108154,0
75337,0
140654,0
56403,0
64409,0
128505,0
138887,1
26344,0
139045,0
28124,1
136752,0
105280,0
4826,0
34674,1
128221,1
75101,0
37154,0
28647,0
30014,0
113291,0
113562,1
75160,0
53,1
119004,0
72099,1
131034,0
92894,0
61971,0
117376,0
119786,0
78813,0
71510,0
14575,1
73354,1
74077,0
91739,1
67273,0
5158,0
97446,0
132534,0
122364,0
33029,1
140972,0
60239,0
70832,1
26708,1
69815,0
136312,0
32200,0
106491,1
80828,0
20026,1
91215,0
143094,1
146905,0
72086,0
110860,0
19448,1
19970,0
66290,0
26635,0
80639,0
64987,1
41909,0
78526,1
47115,0
94303,0
130180,0
117018,1
53390,0
72341,0
106713,0
18347,0
37605,0
109137,1
47284,0
39695,0
97343,0
122369,1
116359,0
136277,0
100697,0
125973,0
144774,0
12446,0
60717,0
47455,0
22980,0
2219,0
106692,1
131918,0
60842,0
11961,0
17222,0
4096,0
40027,0
130595,0
142830,0
95697,1
143873,0
68710,0
138529,0
46359,0
127275,0
64539,0
17070,0
73704,1
126463,0
101265,0
102578,0
55678,0
51591,0
86615,0
31672,0
792,0
104412,0
37456,0
81141,0
21646,0
9486,0
77065,0
131594,0
68799,0
52302,1
46481,0
66195,1
33485,0
87041,1
111468,0
36234,0
5478,0
86075,1
47817,1
14466,0
20570,0
29565,1
16346,0
132205,0
56751,1
25526,0
96081,1
102995,0
19194,0
19685,0
4251,0
78083,0
58933,1
124093,0
7691,0
43234,1
99347,0
124935,0
66474,0
13010,0
15704,0
61009,1
121533,0
2181,0
73369,0
60333,1
99088,0
109237,0
92096,0
42852,1
137130,1
83654,0
59678,0
106408,0
7029,0
88336,1
112223,1
2258,0
51565,0
21514,1
141251,1
54663,0
112783,0
120495,0
43797,1
119084,1
106276,0
102709,1
79776,0
137319,0
69885,1
49217,0
93130,0
106124,0
141720,0
109236,0
113859,0
25838,0
23521,0
131789,0
116213,0
51674,0
126449,0
113316,0
112129,1
11530,1
141656,1
87764,0
51347,0
143940,0
37542,0
50905,0
87514,0
23667,0
138261,0
63313,0
102753,0
125623,1
55960,0
143747,0
101182,0
10598,0
60858,0
87719,0
44014,1
85986,1
100062,0
100084,1
82904,0
117893,0
161,0
89174,0
95305,0
140329,1
133238,0
100462,0
135597,0
23930,0
21476,0
22609,0
124374,0
129860,0
100441,0
29701,1
30146,0
108321,1
78879,0
39791,0
48133,0
41823,0
68689,0
11068,0
53767,1
21390,0
85778,1
143146,0
130533,0
93308,0
105486,1
146507,0
30504,0
51969,0
143915,0
38115,1
71261,0
31187,0
68239,0
112364,0
83778,0
145942,0
83392,1
45318,0
116885,0
22606,0
61265,1
130255,0
146046,0
6030,0
62291,0
66377,0
114421,0
56486,1
104084,0
85134,0
124724,0
92359,0
111354,0
13256,1
20367,0
97303,0
96991,0
137289,0
38370,0
86898,0
1185,1
39259,0
9098,0
128157,0
145555,1
119672,0
96432,0
132,0
105971,0
45795,1
23893,0
105896,0
21521,0
25115,0
32250,0
64134,0
8515,0
4236,0
110835,0
113411,0
71093,0
35125,1
114725,0
71080,0
30968,0
12270,1
141879,0
102627,0
129676,0
75844,0
137564,1
123302,0
143152,0
60125,0
146638,0
110912,0
57364,0
75582,0
76913,0
140428,1
135453,0
146258,0
672,1
84381,1
111398,0
15789,0
11326,0
14338,1
138272,0
144117,0
98288,0
117122,0
128097,0
97082,0
55710,1
119625,1
143130,1
92566,0
97983,0
106989,0
57477,0
53530,0
19863,0
37291,1
126621,0
70773,0
75921,0
123850,0
95040,0
143805,0
43614,0
1109,1
10607,0
100853,0
139537,0
132092,0
47247,0
57024,1
118283,1
55541,0
77408,0
1906,0
132895,0
67548,0
78587,0
69945,0
25339,0
121247,0
99183,1
47871,0
145046,0
17505,1
48862,0
92542,1
141679,0
56628,0
136492,1
73298,0
16479,0
138791,1
60674,0
46819,0
114083,0
91285,0
90138,0
67441,0
20063,0
63248,0
88875,0
20967,0
131201,1
28999,0
14322,0
137038,0
122305,1
63417,1
90054,0
55935,0
125090,0
113088,0
131176,1
94866,0
101201,1
107666,0
42614,0
132566,0
118716,0
132544,0
48549,0
109023,0
14479,0
67699,0
62303,0
122697,0
100842,1
8057,0
53689,1
42426,1
39989,1
4843,0
117878,0
55072,0
139368,0
125715,0
23624,0
109064,0
68812,1
67708,1
143291,1
87035,0
95029,0
122521,0
68393,0
78188,0
134595,0
18594,0
61168,0
16966,0
105573,0
36101,1
12512,0
2023,1
24612,0
21502,1
22774,0
31000,0
124024,0
35840,0
57524,0
40823,0
102339,0
26753,1
139745,1
101284,0
121378,0
96239,1
121450,0
6402,0
10584,0
98382,1
16370,1
86043,0
86842,0
84078,1
32536,0
401,1
50601,0
7339,0
34707,0
70892,0
32035,1
92242,0
96770,0
103395,0
104271,0
47667,1
67001,0
10156,1
75517,0
48376,0
46882,0
69738,0
131341,1
61250,1
104102,1
81497,0
51704,1
49349,0
101707,1
130669,1
140103,1
115149,0
67114,1
7401,0
137471,0
3481,0
27795,0
127520,0
111776,0
79836,0
130095,1
40220,0
36429,0
12252,0
65163,1
97361,0
145956,0
84207,0
147292,0
127276,1
123160,0
4662,0
3379,0
95038,0
6100,0
26132,1
113928,0
89656,1
80350,1
140840,1
109363,0
47169,0
58954,0
108526,0
101059,1
91908,0
79390,0
112630,0
24483,0
54669,0
141535,0
65242,0
99695,0
74040,0
81783,0
106598,0
82542,0
71262,0
47900,1
66560,0
81228,0
45811,1
116613,0
2502,1
67935,0
109290,0
113948,0
74670,0
110751,0
71537,1
123385,0
16674,1
45128,1
111362,1
120821,0
132598,1
38926,0
35733,1
38929,0
76500,1
4895,0
28649,0
110774,0
66071,0
26254,1
19513,1
6196,1
13040,1
84470,0
144819,0
71459,0
9502,0
37631,0
103289,0
134872,1
134182,0
8657,0
95877,0
129709,0
96837,0
11196,0
2959,1
99453,1
53101,0
139809,0
28679,0
93552,1
81840,0
53394,0
39552,1
28087,1
115700,1
7412,0
57252,0
146703,0
82424,1
134437,0
96445,0
54556,0
95048,0
89473,0
117695,0
85117,1
60425,0
31626,0
104761,1
93608,0
45250,1
45633,1
140415,0
28054,0
57417,0
118008,0
59052,0
40649,1
146921,0
72118,0
68391,1
89804,0
19150,0
25356,1
16604,0
26278,0
45285,0
49155,1
92626,1
48178,1
76747,0
126123,0
30382,0
118557,1
44165,0
115827,0
92643,0
95725,0
51796,0
129084,0
128379,1
115211,0
9276,0
59875,0
146502,0
81740,0
53524,1
146136,0
41349,1
69094,1
87219,0
35240,0
133125,0
122785,0
39243,0
77470,1
40049,0
64995,0
61653,0
117099,1
56984,1
25164,0
136679,0
129534,0
134081,0
136039,0
27753,0
64207,0
5531,1
133387,0
147783,0
77091,0
62843,0
44668,0
143082,0
14143,0
52671,1
136133,0
69933,0
36127,1
104826,0
3415,1
49791,0
95323,0
86483,0
37110,0
59244,0
102723,1
18876,0
112278,0
86591,0
104291,0
51571,0
56870,0
99663,0
113103,1
23964,1
48863,0
143222,0
60321,0
137097,0
71733,1
41136,0
46428,0
137021,0
132354,0
104895,0
112790,0
92179,0
54502,0
71068,0
127446,0
75216,0
18226,0
39816,1
128054,0
12289,1
44194,0
66977,0
70064,1
40422,0
36962,1
135177,1
38650,0
68582,1
88263,0
144700,0
95201,0
109770,1
49570,0
31170,0
90804,0
127736,0
66274,0
141317,0
73645,0
90114,1
146644,0
78672,0
14468,0
42410,0
65353,1
43913,0
91724,0
114897,0
66061,1
57420,0
64864,0
70565,0
26,1
31868,0
60681,0
105783,0
117084,0
15986,0
62897,0
21698,0
50453,0
64658,1
99218,0
35104,0
84700,0
78388,0
101096,0
120898,0
93422,0
141449,1
73060,0
132857,0
102635,0
127203,0
112492,1
24078,0
27759,0
11222,0
55521,0
28914,0
11654,0
33018,1
135328,0
54419,0
91319,0
109541,0
113809,0
27856,0
18297,0
42290,1
34885,0
101054,1
119893,1
97521,0
97210,0
84295,0
63328,0
105471,0
111905,0
6018,1
49085,0
57229,1
138217,1
56272,0
77912,1
135705,0
110402,1
63683,0
74271,0
48013,0
134675,0
112365,0
147811,1
14788,0
38654,0
52325,0
95468,0
36120,1
114992,0
113227,0
29829,0
60069,1
28628,0
29922,0
17087,1
90702,0
81408,0
141145,0
15458,1
78688,0
3352,0
19735,0
3993,0
121443,1
127589,0
51044,0
72884,0
41826,1
76580,0
27283,1
29104,0
99693,1
36719,0
52276,0
69876,0
88163,1
111554,0
5767,0
61573,0
73801,0
35993,0
131290,1
66036,1
2453,0
40906,0
68196,1
78003,0
46121,0
70755,0
27066,0
118015,0
53186,0
85177,0
30187,1
15781,0
75964,1
65963,0
135311,0
66569,1
29583,0
110407,0
36363,0
133397,0
4246,0
94605,0
16691,0
21856,0
71003,0
126548,1
26236,0
110935,0
123610,1
813,0
136419,0
126562,0
3103,0
118312,0
112025,0
91780,1
22595,0
23371,0
122597,0
99781,0
84614,0
41261,0
54743,1
147493,0
72782,0
137099,0
36683,0
94580,0
40383,0
100014,0
7522,1
38791,0
130018,0
51810,0
25854,1
124315,0
49563,0
26837,0
68579,0
89994,0
125570,1
142556,0
68406,0
31766,1
13689,0
146395,0
31443,0
130200,0
9817,0
93060,0
105612,1
128887,0
111647,0
9211,1
115366,0
115738,0
126072,0
142002,1
59623,0
10452,0
107509,0
48970,1
3866,1
127904,1
22957,0
51644,1
90148,1
125981,0
17217,0
126980,0
6846,0
62416,0
34745,0
75636,0
25754,0
53888,0
26842,0
109816,0
20894,0
93088,1
125095,0
58193,0
61736,0
137181,0
100997,1
91669,0
139151,0
16332,0
98862,0
19561,0
13771,0
89574,0
89668,0
115134,1
110454,0
2499,0
144934,0
85560,1
131466,0
103850,0
146329,0
101860,1
136436,0
73520,0
111294,0
52888,0
79144,1
128342,1
123805,0
130812,1
17995,0
78260,0
25883,0
98046,0
75298,0
105326,0
34135,1
6868,0
28593,0
41500,1
35846,0
80424,0
53923,1
121815,0
94458,0
10307,0
78046,0
115698,0
12842,0
114455,0
71527,0
77556,0
28882,0
86209,1
87285,0
18781,0
44585,0
57028,1
102782,1
21151,0
133553,1
77161,0
122153,0
64519,1
35891,1
14058,1
51684,1
119086,0
39712,0
132679,0
37510,0
95365,0
19181,1
11981,0
75937,1
86459,0
81742,0
121431,1
64533,0
17983,0
94528,1
104755,1
73386,0
11284,0
